band_size,coverage,npv,subscribers_routed,leakage_rate,threshold,feasible,binding
10461,0.3174810318664643,0.9613803651658541,404,0.10883620689655173,0.2887934916362061,True,
10586,0.3212746585735964,0.9616474589079916,406,0.109375,0.28884439412718943,True,
10637,0.3228224582701062,0.9617373319544984,407,0.10964439655172414,0.288845112724909,True,
10657,0.32342943854324735,0.9617153044946983,408,0.10991379310344827,0.28887909568776765,True,
10684,0.3242488619119879,0.9617184575065518,409,0.11018318965517242,0.28888474323806496,True,
10693,0.32452200303490136,0.9617506780136538,409,0.11018318965517242,0.28898813837840626,True,
10778,0.3271016691957511,0.9612172944887735,418,0.11260775862068965,0.28900819324470745,True,
10805,0.32792109256449165,0.9613142063859325,418,0.11260775862068965,0.2890290626483373,True,
10806,0.3279514415781487,0.9613177864149547,418,0.11260775862068965,0.28938379723254143,True,
10835,0.32883156297420335,0.9614213197969543,418,0.11260775862068965,0.28938733556936236,True,
10838,0.32892261001517453,0.9614319985237129,418,0.11260775862068965,0.28954445794608535,True,
10847,0.329195751138088,0.9614639992624688,418,0.11260775862068965,0.2895765143054442,True,
10853,0.32937784522003033,0.9613931631806873,419,0.1128771551724138,0.28976270360253703,True,
10886,0.3303793626707132,0.9613264743707515,421,0.11341594827586207,0.28976796998551485,True,
10921,0.33144157814871017,0.9611757165094772,424,0.11422413793103449,0.28982463041019174,True,
10955,0.33247344461305006,0.9611136467366499,426,0.11476293103448276,0.2901393084908043,True,
11000,0.3338391502276176,0.9611818181818181,427,0.11503232758620689,0.29028314010965933,True,
11022,0.33450682852807284,0.9612592995826529,427,0.11503232758620689,0.2904251828296516,True,
11030,0.33474962063732927,0.9612873980054397,427,0.11503232758620689,0.2905153294716752,True,
11033,0.33484066767830045,0.9612979244085924,427,0.11503232758620689,0.29077770049405766,True,
11041,0.3350834597875569,0.9613259668508287,427,0.11503232758620689,0.2908732705188362,True,
11045,0.3352048558421851,0.9613399728383885,427,0.11503232758620689,0.2909591278515966,True,
11046,0.3352352048558422,0.9613434727503168,427,0.11503232758620689,0.29099584609665413,True,
11138,0.33802731411229137,0.9613036451786676,431,0.11610991379310345,0.2912779551826972,True,
11182,0.3393626707132018,0.9614559112859954,431,0.11610991379310345,0.29144921612962577,True,
11208,0.34015174506828527,0.961366880799429,433,0.11664870689655173,0.291502993577261,True,
11238,0.341062215477997,0.9613810286527852,434,0.11691810344827586,0.29156523884268803,True,
11266,0.34191198786039456,0.9613882478253151,435,0.1171875,0.29159067323534477,True,
11382,0.34543247344461303,0.9616939026533122,436,0.11745689655172414,0.2916253984268292,True,
11410,0.3462822458270106,0.9617879053461875,436,0.11745689655172414,0.2916471748157442,True,
11414,0.34640364188163886,0.9618012966532329,436,0.11745689655172414,0.2916790914858753,True,
11424,0.3467071320182094,0.9618347338935574,436,0.11745689655172414,0.2916930335645304,True,
11428,0.34682852807283765,0.9617605880294015,437,0.11772629310344827,0.2916975442422724,True,
11430,0.34688922610015177,0.9617672790901137,437,0.11772629310344827,0.29176681140945665,True,
11432,0.34694992412746584,0.9617739678096571,437,0.11772629310344827,0.2918562444711799,True,
11472,0.3481638846737481,0.9618200836820083,438,0.11799568965517242,0.29210133045318254,True,
11473,0.34819423368740515,0.961823411487841,438,0.11799568965517242,0.292185630300892,True,
11494,0.3488315629742033,0.9618061597355142,439,0.11826508620689655,0.2924966321117399,True,
11506,0.34919575113808804,0.9616721710411958,441,0.11880387931034483,0.2925555687620826,True,
11536,0.3501062215477997,0.9615984743411928,443,0.11934267241379311,0.2927559185586338,True,
11542,0.35028831562974205,0.9616184370126495,443,0.11934267241379311,0.2927560428253303,True,
11629,0.35292867981790593,0.9613036374580789,450,0.12122844827586207,0.2927620620822499,True,
11634,0.3530804248861912,0.9613202681794739,450,0.12122844827586207,0.2928619131818507,True,
11639,0.3532321699544765,0.9613368846120801,450,0.12122844827586207,0.2930364034619033,True,
11640,0.35326251896813354,0.961340206185567,450,0.12122844827586207,0.29316583839048443,True,
11642,0.35332321699544766,0.9613468476206838,450,0.12122844827586207,0.2932263479064088,True,
11654,0.35368740515933234,0.9613866483610778,450,0.12122844827586207,0.29338154351998286,True,
11661,0.3538998482549317,0.9614098276305634,450,0.12122844827586207,0.29350358387718345,True,
11663,0.3539605462822458,0.9614164451684816,450,0.12122844827586207,0.29353144759649197,True,
11688,0.3547192716236722,0.961413415468857,451,0.1214978448275862,0.29362890313195583,True,
11731,0.35602427921092566,0.9614696104338931,452,0.12176724137931035,0.29369255789590054,True,
11732,0.3560546282245827,0.9614728946471189,452,0.12176724137931035,0.2937642859215074,True,
11753,0.3566919575113809,0.9615417340253553,452,0.12176724137931035,0.2939568277041802,True,
11782,0.35757207890743553,0.9616363945000849,452,0.12176724137931035,0.2939908247492411,True,
11787,0.3577238239757208,0.9616526681937728,452,0.12176724137931035,0.294001780236394,True,
11792,0.3578755690440061,0.9616689280868386,452,0.12176724137931035,0.2941898786196228,True,
11824,0.35884673748103185,0.961518944519621,455,0.12257543103448276,0.2942119006421419,True,
11829,0.35899848254931715,0.9615352100769295,455,0.12257543103448276,0.2942469932773558,True,
11833,0.3591198786039454,0.9615482126257078,455,0.12257543103448276,0.29425161365343766,True,
11841,0.3593626707132018,0.9615741913689723,455,0.12257543103448276,0.2942898091853905,True,
11847,0.35954476479514413,0.9615936524014519,455,0.12257543103448276,0.2943097390010228,True,
11850,0.3596358118361153,0.9616033755274261,455,0.12257543103448276,0.29435098732175474,True,
11854,0.35975720789074356,0.9616163320398178,455,0.12257543103448276,0.29441108604155997,True,
11936,0.36224582701062213,0.9615449061662198,459,0.12365301724137931,0.29441315743814145,True,
11937,0.3622761760242792,0.9615481276702689,459,0.12365301724137931,0.2945569938607589,True,
11942,0.3624279210925645,0.9615642270976386,459,0.12365301724137931,0.2945995341609968,True,
